% # columns="iter, evals, sigma, 0, fitness, xbest" seed=5, Tue Jan 26 23:38:48 2021, <python>{}</python>
1 40 1.9545291307188435 0 -59.0 5.109140017002789 3.035747573505563 0.9371400000943836 9.863005630426839
2 80 1.7841370135099202 0 -60.0 5.100356962536236 3.009199730156338 0.7689052994417964 9.384168722511365
3 120 1.532430359793115 0 -61.0 5.097868103894488 3.2671483115154523 0.7863319129740522 7.773314293755734
4 160 1.4213904423540713 0 -59.5 5.165739636544227 3.502139295380346 1.176140431005474 9.991908427323551
5 200 1.3624515491643945 0 -62.0 5.0905250562669755 3.106613010097417 0.5919143226227901 9.969712345451777
6 240 1.5101945890842945 0 -60.0 5.106350893422951 3.8600211247698084 0.3654011252496125 9.013428866362247
7 280 1.8872169067899536 0 -64.0 5.11014914123124 4.56973012677042 1.9218212377474493 9.211906802392138
8 320 1.7165486506023875 0 -63.0 5.071646014735339 5.094351391933012 1.8621219082612268 9.094784895141773
9 360 1.6409657757704141 0 -68.0 5.106526863067767 3.7946839370715297 2.853838222453801 9.954921645744033
10 400 1.6941495313255037 0 -65.5 5.133242666612879 3.917409070410635 1.7978029807616882 9.172706210103776
11 440 1.7319370063553667 0 -67.0 5.128251699130555 4.916773811908311 3.8316352820931634 9.7765688670466
12 480 1.5950252697055844 0 -67.0 5.108412521019045 4.500021315349165 2.9904907483124816 9.776922444439364
13 520 1.4547354600376978 0 -69.0 5.062350246349103 4.649609894788175 3.5507691834679753 9.941467602169734
14 560 1.3446851119447996 0 -68.5 5.128620020908194 4.06644917234683 3.275249594457419 9.763828728942274
15 600 1.3257473646619278 0 -67.0 5.123598496092149 3.922420447071308 1.825582528291553 9.95194892426335
