% # columns="iteration, evaluation, void, void, void, xmean", seed=5, Tue Jan 26 23:38:48 2021, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 40 0 0 0 5.163458069705101 3.6932150769503536 0.4444835968846145 9.317098050620652
2 80 0 0 0 5.048698912844813 3.240833415323385 0.377728456972714 9.614047787325244
3 120 0 0 0 5.052259576816768 3.1070390885743744 0.07583479784440256 9.607191678568295
4 160 0 0 0 5.030729094387609 2.837600869220035 -0.28813684893113534 9.65214903974062
5 200 0 0 0 5.032434501430307 2.7605284388159173 -0.38141788278627975 10.072578637201888
6 240 0 0 0 4.980310012575709 3.441652325944989 0.060995504360132125 9.871197665602311
7 280 0 0 0 5.012049057714283 3.987775590921437 0.8615589093451739 9.616198717429974
8 320 0 0 0 5.000499005975266 3.9084947159354084 1.0693949941615932 9.72935350652811
9 360 0 0 0 4.991254893697026 3.9354891628420035 1.2210828429225524 9.369073553904403
10 400 0 0 0 4.989154890301723 4.06606079251409 1.8576188860082694 9.459377808940983
11 440 0 0 0 4.995997625749223 4.120802846582421 2.390905870052577 9.670014605800205
12 480 0 0 0 5.008250269550821 4.086437158952237 2.2942425116207605 9.874310669621075
13 520 0 0 0 4.992388520818876 4.131451508339207 2.3764188152291155 10.02705697487382
14 560 0 0 0 5.0358966642382 4.1394819347768355 2.5234690045250256 9.934674455720225
15 600 0 0 0 5.079741653874467 4.138454411018174 2.5103637316934027 10.010786942268115
16 640 0 0 0 5.072230096495927 4.2456611442736305 2.5617977960592277 10.148574905458853
