% # columns="iteration, evaluation, void, void, void, xmean", seed=5, Tue Feb  2 22:31:47 2021, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 40 0 0 0 4.880764012691754 5.883633125769934 5.58045125148592 9.192669989839086
2 80 0 0 0 5.0846711989587074 5.601495554070759 5.606504892380011 9.143183512221576
3 120 0 0 0 5.24856268182743 5.670367172744975 5.618789383726436 9.170235490899273
4 160 0 0 0 5.017533599091795 5.537224650100321 5.549803897799129 8.777358899730485
5 200 0 0 0 4.9017926700934895 5.559770217482965 5.492011054368306 8.736308834478717
6 240 0 0 0 4.799160747661646 5.5471960111311684 5.663584341318062 8.424488814411278
7 280 0 0 0 4.8004136937575375 5.626738781088519 5.613044505651396 8.254510981434677
8 320 0 0 0 4.887816920699102 5.639587627186415 5.647511756999756 8.164173993179444
9 360 0 0 0 4.719241713001255 5.635696238943102 5.714740610612695 8.211052832590312
10 400 0 0 0 4.642662816933633 5.708514166213837 5.756546542605881 8.288088277193985
11 440 0 0 0 4.693229510643902 5.65017971734728 5.677363601513906 8.216089866748218
12 480 0 0 0 4.65865755802551 5.664811438204145 5.7116146172755204 8.289343328117466
13 520 0 0 0 4.616157818893075 5.748218848548377 5.660502429097035 8.2195401907385
14 560 0 0 0 4.608299422521182 5.726979150932464 5.615453477362741 8.270553480235781
15 600 0 0 0 4.610862295928391 5.751845032069478 5.5975728973308465 8.331440348805264
16 640 0 0 0 4.6160138646099895 5.788120682431585 5.599913105362795 8.371216296416105
17 680 0 0 0 4.6218789917750565 5.853193672966211 5.6000904135566465 8.41958055226321
18 720 0 0 0 4.61432193977126 5.877847238505079 5.617658469990763 8.500234804457717
19 760 0 0 0 4.61575078499544 5.940593398045129 5.632509160362612 8.585275094640933
20 800 0 0 0 4.623429458039085 5.97435159746425 5.629174096723269 8.533409232874247
21 840 0 0 0 4.620199668866924 5.919157728431558 5.6141318578975055 8.516598119923728
22 880 0 0 0 4.62368882221191 6.0174209761294435 5.6085674655966775 8.550807735695399
23 920 0 0 0 4.624643012256278 6.070392036986015 5.608520558102293 8.622605060837662
