% # columns="iteration, evaluation, void, void, void, xmean", seed=5, Tue Dec 15 14:38:22 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 12 0 0 0 5.118749443745438 6.026194654957647
2 24 0 0 0 5.025047141500126 8.155618109883406
3 36 0 0 0 5.226193284833267 8.48406116532396
4 48 0 0 0 4.953056327028016 7.910648094112388
5 60 0 0 0 4.947141075597535 9.265910075919248
6 72 0 0 0 5.11156304458888 6.650921533533453
7 84 0 0 0 5.169502631217346 7.463722569609552
8 96 0 0 0 5.139828714680631 6.696366251221775
9 108 0 0 0 5.159754333038939 7.23917362611022
10 120 0 0 0 5.172705584318953 6.872307445361837
11 132 0 0 0 5.143062131378907 6.902351954597465
12 144 0 0 0 5.153024073724761 7.452763501586081
13 156 0 0 0 5.158150364949548 7.286832927818236
14 168 0 0 0 5.1400975599952305 7.497641018950321
15 180 0 0 0 5.141359819258556 7.252769572936695
16 192 0 0 0 5.143063972837839 7.366302715105175
17 204 0 0 0 5.137796744998206 7.278547661151645
18 216 0 0 0 5.1375523101318175 7.255118813591418
19 228 0 0 0 5.139384791514807 7.341731752700244
20 240 0 0 0 5.139500967485445 7.2775619189257
21 252 0 0 0 5.138700869346015 7.334533402827475
22 264 0 0 0 5.138783502762516 7.260914302360045
23 276 0 0 0 5.13941446465295 7.285372683527978
24 288 0 0 0 5.139370619417746 7.290981882106008
25 300 0 0 0 5.138967883772491 7.312169360990175
26 312 0 0 0 5.139070561342633 7.276313500943852
27 324 0 0 0 5.139117440451217 7.275445958246446
