% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=5, Tue Dec 15 16:35:16 2020, <python>{}</python>
1 30 1.816124412444245 1.0000333338888951 -32.5 -3.2500000000000000e+01 -11.5 -4.0   
2 60 1.5287385661403101 1.5330606295008973 -33.0 -3.3000000000000000e+01 -13.0 -5.0   
3 90 1.2990415671785056 2.397786770382119 -40.0 -4.0000000000000000e+01 -19.0 -11.5   
4 120 1.3899902741367895 3.9615939633284225 -40.0 -3.8500000000000000e+01 -25.5 -5.0   
5 150 1.4035332375545897 4.771428174814598 -40.0 -3.4500000000000000e+01 -27.0 -7.0   
6 180 1.43829177068332 5.685425987733502 -40.0 -3.5000000000000000e+01 -25.5 -10.0   
7 210 1.4588963154123504 6.812393320856694 -43.5 -4.3500000000000000e+01 -27.0 -5.0   
8 240 1.3096969114433834 8.20025619569973 -43.5 -3.9000000000000000e+01 -27.5 -4.0   
9 270 1.108053339382699 10.450452825313388 -43.5 -3.9000000000000000e+01 -29.5 -4.0   
10 300 1.0454076493146796 9.458388423829396 -43.5 -4.1500000000000000e+01 -27.5 -4.0   
11 330 1.0165250265598422 7.896901965547324 -45.5 -4.5500000000000000e+01 -31.5 -5.0   
12 360 1.1403930115215177 7.484228342512629 -45.5 -4.4000000000000000e+01 -31.0 -5.0   
13 390 1.0476376240775442 8.911534872238853 -45.5 -4.2500000000000000e+01 -27.0 -4.0   
14 420 1.0102859113829745 8.851271029578358 -45.5 -4.4000000000000000e+01 -32.0 -9.0   
15 450 0.794925467008594 7.304489377282118 -47.0 -4.7000000000000000e+01 -28.0 -3.0   
16 480 0.9624024744567529 6.141938755280714 -47.5 -4.7500000000000000e+01 -29.0 -4.0   
17 510 1.0903800768476637 9.584231490776954 -47.5 -4.6000000000000000e+01 -31.0 -8.0   
18 540 1.263559365330129 11.243556168552033 -47.5 -4.7500000000000000e+01 -31.0 -7.0   
19 570 1.295422246022124 11.290609768967421 -47.5 -4.4500000000000000e+01 -32.0 -4.0   
20 600 1.4008531688531265 10.18993624737841 -47.5 -4.7000000000000000e+01 -31.0 -6.0   
21 630 1.419108313423635 12.934201960503081 -47.5 -4.4000000000000000e+01 -35.5 -6.0   
22 660 1.5909307282355356 11.601937290772513 -47.5 -4.7500000000000000e+01 -26.0 -5.0   
23 690 1.5537912960647629 15.342957529867052 -47.5 -4.4500000000000000e+01 -22.5 -3.0   
24 720 1.7191633094905705 12.180240271200361 -47.5 -4.3500000000000000e+01 -29.0 -5.0   
25 750 1.6850459462007197 15.754848141287441 -47.5 -4.6500000000000000e+01 -28.0 -5.0   
26 780 1.5262505542440936 15.953081029113923 -47.5 -4.4500000000000000e+01 -30.0 -5.0   
27 810 1.2725510935022153 17.992518587122017 -47.5 -4.5000000000000000e+01 -33.0 -3.0   
28 840 1.1278466353438013 19.183172693159133 -47.5 -4.4500000000000000e+01 -26.0 -4.5   
29 870 1.1245628359892124 17.44812307436747 -47.5 -4.3000000000000000e+01 -29.5 -3.5   
30 900 1.323622738519571 16.184400571103595 -49.0 -4.9000000000000000e+01 -36.0 -3.0   
31 930 1.248505576353378 21.034625542956977 -49.0 -4.9000000000000000e+01 -26.5 -3.0   
32 960 1.1014015955502547 20.519453963635982 -49.0 -4.6000000000000000e+01 -26.5 -3.0   
33 990 1.062113184076207 19.434911769557047 -49.0 -4.3000000000000000e+01 -26.0 -3.0   
34 1020 1.0314007038313908 16.73212851625645 -49.0 -4.7500000000000000e+01 -35.0 -8.0   
35 1050 0.9377602628210079 15.411285064214912 -50.0 -5.0000000000000000e+01 -39.0 -8.0   
36 1080 0.8523407445890393 16.742429061147654 -50.0 -5.0000000000000000e+01 -38.0 -29.0   
37 1110 0.8012288073817687 23.569595949720487 -50.0 -4.9500000000000000e+01 -43.5 -35.0   
38 1140 0.6737532418903096 27.440045767211952 -50.0 -4.8500000000000000e+01 -45.0 -36.0   
39 1170 0.6675839966577796 37.124258958312204 -50.0 -4.9500000000000000e+01 -46.0 -40.5   
40 1200 0.6484982435622945 44.140366225388746 -50.0 -5.0000000000000000e+01 -46.0 -42.5   
41 1230 0.587638918455641 54.297494753777436 -50.0 -5.0000000000000000e+01 -47.0 -41.5   
42 1260 0.6912350088186289 71.67387840140587 -50.0 -5.0000000000000000e+01 -47.5 -45.5   
43 1290 0.8163508724335508 117.60330553316304 -50.0 -5.0000000000000000e+01 -47.0 -42.0   
44 1320 0.8041184717193793 146.11559484465013 -50.0 -5.0000000000000000e+01 -47.5 -44.5   
45 1350 0.9243296875771778 182.53594433916587 -50.0 -5.0000000000000000e+01 -48.0 -45.0   
46 1380 0.8471796811461151 170.89940712118536 -50.0 -5.0000000000000000e+01 -48.5 -43.5   
47 1410 0.8125820330600788 198.5099321109999 -50.0 -5.0000000000000000e+01 -49.5 -45.0   
48 1440 0.7594240370056751 168.3215278218193 -50.0 -5.0000000000000000e+01 -49.5 -46.0   
49 1470 0.9032793772449076 205.75057343191128 -50.0 -5.0000000000000000e+01 -50.0 -45.5   
50 1500 0.8605657288209086 258.55343726122675 -50.0 -5.0000000000000000e+01 -49.5 -47.5   
51 1530 0.8230240195171055 227.61318809626047 -50.0 -5.0000000000000000e+01 -50.0 -46.5   
52 1560 0.7008209924355456 244.36344578229156 -50.0 -5.0000000000000000e+01 -50.0 -46.5   
