% # columns="iteration, evaluation, void, void, void, xmean", seed=5, Tue Dec 15 22:02:12 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 20 0 0 0 5.203174783527731 6.351747042064055
2 40 0 0 0 4.8655246264579 5.922472687735543
3 60 0 0 0 5.0018351959854845 6.154750787737379
4 80 0 0 0 4.843170559647714 6.13141991791793
5 100 0 0 0 4.947040025611096 6.092322208232316
6 120 0 0 0 4.917711530938792 5.88811303415956
7 140 0 0 0 4.863287358373538 5.858389734912365
8 160 0 0 0 4.812653008576613 5.857095821554249
9 180 0 0 0 4.853686217156645 5.853657408448494
10 200 0 0 0 4.819643081824386 5.842641568006082
11 220 0 0 0 4.799265130693707 5.873339979829963
12 240 0 0 0 4.7820026362706605 5.86777774654044
13 260 0 0 0 4.775921325104381 5.853921938154842
14 280 0 0 0 4.7813915460474385 5.853532390886199
15 300 0 0 0 4.790314206619266 5.84445528020791
16 320 0 0 0 4.79493226609259 5.847027830914481
17 340 0 0 0 4.798017143002449 5.855678519849815
18 360 0 0 0 4.8063858588124315 5.856310009332156
19 380 0 0 0 4.805184641395502 5.8637574033605855
20 400 0 0 0 4.804090519497824 5.862424586781071
21 420 0 0 0 4.802900325604884 5.862408752305418
22 440 0 0 0 4.803861278855096 5.862448499524636
23 460 0 0 0 4.805145926906658 5.863624850287681
24 480 0 0 0 4.804914359585941 5.862819956687303
25 500 0 0 0 4.80418912383665 5.863272465907669
26 520 0 0 0 4.803902177638982 5.863609882669816
