% # columns="iteration, evaluation, sigma, void, void,  stds==sigma*sqrt(diag(C))", seed=861055, Tue Jan 26 21:41:32 2021, <python>{}</python>
1 50 0.831231233943222 0 0 0.3605588179475409 0.4095121352186088
2 100 0.7487504696214706 0 0 0.17461986697611995 0.18737504009942701
3 150 0.6605860727165279 0 0 0.06966750650554679 0.0782938549201121
4 200 0.7585481517708187 0 0 0.06910427546495337 0.035968465203698445
5 250 0.7422988625291445 0 0 0.03568655568957805 0.024527161214427832
6 300 0.727976398060033 0 0 0.023204706985342324 0.013711102249717647
7 350 0.6209540480459463 0 0 0.010120043153596218 0.007926546824682086
8 400 0.6054277409123352 0 0 0.007054936748056122 0.004234431576296324
9 450 0.5471246146380871 0 0 0.0030283800019096575 0.00215177929186211
10 500 0.4890020693409585 0 0 0.0013623863838151255 0.0010296334870025477
11 550 0.4404799368143871 0 0 0.0005585887164295779 0.0005588043469467735
12 600 0.38428017309686113 0 0 0.00025461439622579226 0.00025646616638917805
13 650 0.34739032200701636 0 0 0.00013171719712323025 0.00012097063318988604
14 700 0.34912610786961823 0 0 6.245233442798683e-05 7.412435020914078e-05
15 750 0.34099550976456233 0 0 4.848184240778147e-05 3.3503668516843893e-05
16 800 0.28122355173290065 0 0 1.782855628518669e-05 1.5064222165653077e-05
17 850 0.25258199687088123 0 0 9.314294204843924e-06 5.665955007866648e-06
18 900 0.2701443494374788 0 0 7.212647281946466e-06 5.038382700634705e-06
19 950 0.23332566381659356 0 0 3.118825791314407e-06 2.4622309306329056e-06
20 1000 0.21633284130039582 0 0 1.427484107286329e-06 1.173227306126365e-06
21 1050 0.2065715930295666 0 0 6.168161188011419e-07 7.345149474934794e-07
22 1100 0.17462098651351557 0 0 2.7477553258482635e-07 2.921898309481069e-07
23 1150 0.16826173046153628 0 0 1.2917508315894568e-07 1.3711275541584995e-07
24 1200 0.19044645714668798 0 0 1.0521067605054499e-07 7.423990757007755e-08
25 1250 0.1579449364571412 0 0 3.8250964943353806e-08 3.737336227008828e-08
26 1300 0.14707399717563938 0 0 1.6626600010287826e-08 2.0155059638144196e-08
27 1350 0.12880362735540377 0 0 9.445874255868321e-09 8.609525593270844e-09
27 1350 0.12880362735540377 0 0 9.445874255868321e-09 8.609525593270844e-09
