% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=5, Tue Jan 26 23:41:19 2021, <python>{}</python>
1 40 1.8301232313537072 1.0000375007031337 -24.5 -2.4500000000000000e+01 -6.0 -3.0   
2 80 1.740326131636395 1.5560737136384817 -25.0 -2.5000000000000000e+01 -12.0 -3.0   
3 120 1.515409366194653 2.189009900794093 -25.0 -2.3000000000000000e+01 -13.0 -7.5   
4 160 1.3303495806278605 2.631353870956049 -25.0 -2.4000000000000000e+01 -13.0 -4.0   
5 200 1.1724912470600042 3.2762231657868077 -26.0 -2.6000000000000000e+01 -16.0 -3.0   
6 240 1.0673497789369317 4.5088345953708675 -26.0 -2.5500000000000000e+01 -18.0 -3.0   
7 280 1.0495121798679459 5.14691454339816 -26.0 -2.5000000000000000e+01 -20.0 -8.0   
8 320 1.0596576335923804 6.1802330860606585 -26.0 -2.5000000000000000e+01 -21.0 -4.0   
9 360 0.9842381654546911 6.692114665127043 -26.0 -2.6000000000000000e+01 -21.0 -4.0   
10 400 0.9514278109458537 8.27418129063907 -27.0 -2.7000000000000000e+01 -19.0 -5.0   
11 440 0.8538573943368725 10.164323491596434 -27.0 -2.5500000000000000e+01 -19.5 -9.0   
12 480 0.914293607925101 12.741037238353998 -27.0 -2.5500000000000000e+01 -23.0 -9.0   
13 520 0.971077216892216 17.662897992703243 -27.0 -2.7000000000000000e+01 -22.5 -11.0   
14 560 0.8316458130006527 23.927724369908763 -27.0 -2.6000000000000000e+01 -21.5 -13.0   
15 600 0.7529175265142867 28.318870868795436 -27.0 -2.6000000000000000e+01 -23.0 -19.0   
16 640 0.6646170541572869 36.59276727665641 -27.0 -2.6000000000000000e+01 -24.0 -19.0   
