% # columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=5, Tue Jan 26 23:37:38 2021
1 40 -0.1580221317463284 -0.04028364204726488 0.1183741651411857 0.16000223383327528 0.8315267713249084 0.9946637597603923 1.0609237463524326 1.0925420074371572
2 80 -0.1580221317463284 -0.04028364204726488 0.1183741651411857 0.16000223383327528 0.8315267713249084 0.9946637597603923 1.0609237463524326 1.0925420074371572
3 120 -0.1580221317463284 -0.04028364204726488 0.1183741651411857 0.16000223383327528 0.8315267713249084 0.9946637597603923 1.0609237463524326 1.0925420074371572
4 160 -0.1580221317463284 -0.04028364204726488 0.1183741651411857 0.16000223383327528 0.8315267713249084 0.9946637597603923 1.0609237463524326 1.0925420074371572
5 200 -0.05344490550180658 -0.045577984666072616 0.14155870359458464 0.2981639123181709 0.8175495203202606 0.9584265743040192 1.0342458316840515 1.1590370326853834
6 240 -0.05344490550180658 -0.045577984666072616 0.14155870359458464 0.2981639123181709 0.8175495203202606 0.9584265743040192 1.0342458316840515 1.1590370326853834
7 280 -0.05344490550180658 -0.045577984666072616 0.14155870359458464 0.2981639123181709 0.8175495203202606 0.9584265743040192 1.0342458316840515 1.1590370326853834
8 320 -0.05344490550180658 -0.045577984666072616 0.14155870359458464 0.2981639123181709 0.8175495203202606 0.9584265743040192 1.0342458316840515 1.1590370326853834
9 360 -0.5431654436267821 -0.1519129060399539 0.21090845036551045 0.23404490113823476 0.543232509676111 0.9788408117209513 1.0791158867411001 1.2578863258353008
10 400 -0.5431654436267821 -0.1519129060399539 0.21090845036551045 0.23404490113823476 0.543232509676111 0.9788408117209513 1.0791158867411001 1.2578863258353008
11 440 -0.5431654436267821 -0.1519129060399539 0.21090845036551045 0.23404490113823476 0.543232509676111 0.9788408117209513 1.0791158867411001 1.2578863258353008
12 480 -0.5431654436267821 -0.1519129060399539 0.21090845036551045 0.23404490113823476 0.543232509676111 0.9788408117209513 1.0791158867411001 1.2578863258353008
13 520 -0.5879586950938733 -0.18445797904863598 0.27427486020355757 0.2833024534772193 0.45332231823864144 0.9491397649364451 1.1343493926837547 1.2676292982260746
14 560 -0.5879586950938733 -0.18445797904863598 0.27427486020355757 0.2833024534772193 0.45332231823864144 0.9491397649364451 1.1343493926837547 1.2676292982260746
15 600 -0.5879586950938733 -0.18445797904863598 0.27427486020355757 0.2833024534772193 0.45332231823864144 0.9491397649364451 1.1343493926837547 1.2676292982260746
16 640 -0.5879586950938733 -0.18445797904863598 0.27427486020355757 0.2833024534772193 0.45332231823864144 0.9491397649364451 1.1343493926837547 1.2676292982260746
