% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=5, Thu Jan 21 14:16:04 2021, <python>{}</python>
1 50 2.0536345210913107 1.0000400008000108 -25.5 -2.5500000000000000e+01 -8.0 -2.0   
2 100 2.0423076910452096 1.2399323506068591 -26.0 -2.6000000000000000e+01 -9.0 -2.0   
3 150 1.8850804067042382 1.8285773805834271 -32.5 -3.2500000000000000e+01 -10.0 -3.0   
4 200 1.9286929907979742 2.3730793446738754 -32.5 -2.6000000000000000e+01 -14.5 -1.0   
5 250 2.0135645080292934 3.2381377924983363 -32.5 -2.9500000000000000e+01 -16.5 -7.0   
6 300 1.9342183105814499 4.061215622688006 -32.5 -3.1000000000000000e+01 -19.0 -2.0   
7 350 1.7323910247004435 4.734515770237521 -33.0 -3.3000000000000000e+01 -20.0 -4.0   
8 400 1.6307030178017532 4.9801427368223505 -33.0 -2.9500000000000000e+01 -21.0 -5.0   
9 450 1.7337564900831126 5.883113897154636 -33.0 -3.3000000000000000e+01 -21.5 -2.0   
10 500 1.3892123735117414 7.741880858424295 -33.0 -3.1500000000000000e+01 -21.0 -2.0   
11 550 1.3493555607243046 7.45416520535293 -35.0 -3.5000000000000000e+01 -23.0 -3.0   
12 600 1.4626299697851404 8.402966480723942 -35.0 -3.1500000000000000e+01 -22.0 -3.0   
13 650 1.4854019647937804 7.805764659837064 -35.0 -3.2000000000000000e+01 -23.5 -2.0   
14 700 1.2833963235208818 9.01877375821381 -35.0 -3.3500000000000000e+01 -21.5 -1.0   
15 750 1.3758382847071013 10.51580929535977 -38.0 -3.8000000000000000e+01 -25.0 -3.0   
16 800 1.2371475270409036 11.04135343147968 -38.0 -3.7000000000000000e+01 -24.0 -5.0   
17 850 1.4606459761191295 11.757423429138846 -38.0 -3.3000000000000000e+01 -25.5 -3.0   
18 900 1.4343368385861657 15.380665955467823 -38.0 -3.2000000000000000e+01 -25.0 -5.0   
19 950 1.4905461980034604 12.303998653529588 -38.0 -3.4500000000000000e+01 -25.0 -5.5   
20 1000 1.2924901493765864 12.368697305211855 -38.0 -3.7000000000000000e+01 -25.0 -3.0   
21 1050 1.346070246736097 13.840055707337443 -38.0 -3.3500000000000000e+01 -25.5 -4.0   
22 1100 1.307768497484841 13.698279032106234 -38.0 -3.1000000000000000e+01 -26.5 -3.0   
23 1150 1.4164544884200043 13.994481373897475 -38.0 -3.2000000000000000e+01 -26.0 -3.0   
24 1200 1.2438834754244754 14.6052872575882 -38.0 -3.4500000000000000e+01 -26.5 -6.0   
25 1250 1.259379618786405 11.812131849877247 -38.0 -3.6500000000000000e+01 -27.0 -4.0   
26 1300 1.3509199012630169 14.336087891703613 -38.0 -3.6000000000000000e+01 -26.5 -1.0   
27 1350 1.5243072922468268 12.927091473746245 -38.5 -3.8500000000000000e+01 -27.0 -1.0   
28 1400 1.2968343435139267 12.899040662595652 -38.5 -3.5000000000000000e+01 -27.0 -3.0   
29 1450 1.3020826548127167 14.947987342288428 -38.5 -3.8000000000000000e+01 -28.0 -1.0   
30 1500 1.3086676745285586 15.198620671887053 -38.5 -3.8000000000000000e+01 -28.5 -4.0   
31 1550 1.1500146173196057 13.458922794880861 -38.5 -3.5000000000000000e+01 -28.0 -2.0   
32 1600 1.1781923366245421 12.932767757928454 -38.5 -3.8500000000000000e+01 -28.0 -2.0   
33 1650 1.035501658906795 12.737443685791812 -38.5 -3.8000000000000000e+01 -29.5 -23.5   
34 1700 0.9374513301908785 16.959262113923824 -38.5 -3.7500000000000000e+01 -28.5 -9.0   
35 1750 0.8909306565766311 17.738738870484124 -39.5 -3.9500000000000000e+01 -30.5 -4.0   
36 1800 0.7866872922527582 18.903104989342065 -39.5 -3.8500000000000000e+01 -29.0 -24.0   
37 1850 0.7027476769892937 22.41958066773233 -39.5 -3.7500000000000000e+01 -30.5 -23.5   
38 1900 0.7858183537216502 24.964439252353355 -39.5 -3.8500000000000000e+01 -31.0 -25.0   
39 1950 0.8008172573933302 24.735128123093347 -39.5 -3.7000000000000000e+01 -30.5 -24.0   
40 2000 0.7905341462221929 25.03646166446213 -39.5 -3.8000000000000000e+01 -31.0 -25.0   
41 2050 0.7419830892184239 25.316029905757322 -39.5 -3.8500000000000000e+01 -30.5 -25.0   
42 2100 0.640365680421962 26.227504763188378 -39.5 -3.7000000000000000e+01 -32.0 -27.0   
43 2150 0.6468936560729958 31.346922181471943 -39.5 -3.7500000000000000e+01 -30.5 -24.0   
44 2200 0.6128533007961753 29.57572148507705 -39.5 -3.8000000000000000e+01 -30.5 -24.0   
45 2250 0.7102225696508326 29.197406953570322 -39.5 -3.6500000000000000e+01 -32.0 -24.0   
46 2300 0.7367272115335077 24.51534660438873 -39.5 -3.6000000000000000e+01 -30.0 -24.5   
47 2350 0.7096179105808003 25.11740946324442 -39.5 -3.6500000000000000e+01 -30.5 -23.0   
48 2400 0.7783952931469829 21.986850070816068 -39.5 -3.9000000000000000e+01 -31.5 -25.0   
49 2450 0.7410139766766893 21.779581164112955 -39.5 -3.8000000000000000e+01 -31.5 -25.0   
50 2500 0.6847151152862627 26.62187437722921 -39.5 -3.9000000000000000e+01 -32.0 -24.5   
51 2550 0.5879582520189723 31.7217993597928 -39.5 -3.8000000000000000e+01 -33.0 -26.0   
52 2600 0.5659182318903233 31.57057867707855 -39.5 -3.9500000000000000e+01 -32.0 -25.0   
53 2650 0.5513600191572207 33.07709127095747 -39.5 -3.8000000000000000e+01 -32.0 -25.0   
